,venue,city,batting_team,bowling_team,runs_last_5,wickets_last_5,wickets,runs,overs,total
32,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,59,0,0,61,5.1,222
33,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,59,1,1,61,5.2,222
34,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,59,1,1,61,5.3,222
35,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,59,1,1,61,5.4,222
36,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,58,1,1,61,5.5,222
37,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,58,1,1,61,5.6,222
38,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,55,1,1,62,6.1,222
39,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,52,1,1,63,6.2,222
40,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,47,1,1,64,6.3,222
41,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,45,1,1,66,6.4,222
42,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,46,1,1,67,6.5,222
43,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,47,1,1,68,6.6,222
44,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,47,1,1,68,7.1,222
45,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,47,1,1,69,7.2,222
46,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,44,1,1,70,7.3,222
47,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,44,1,1,71,7.4,222
48,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,45,1,1,72,7.5,222
49,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,41,1,1,73,7.6,222
50,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,35,1,1,73,8.1,222
51,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,34,1,1,73,8.2,222
52,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,30,1,1,73,8.3,222
53,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,31,1,1,74,8.4,222
54,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,31,1,1,75,8.5,222
55,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,27,1,1,77,8.6,222
56,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,24,1,1,78,9.1,222
57,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,24,1,1,79,9.2,222
58,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,21,1,1,80,9.3,222
59,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,21,1,1,80,9.4,222
60,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,26,1,1,86,9.5,222
61,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,27,1,1,87,9.6,222
62,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,27,1,1,88,10.1,222
63,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,31,0,1,92,10.2,222
64,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,31,0,1,92,10.3,222
65,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,37,0,1,98,10.4,222
66,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,37,0,1,98,10.5,222
67,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,41,0,1,102,10.6,222
68,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,40,0,1,102,11.1,222
69,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,45,0,1,108,11.2,222
70,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,46,0,1,110,11.3,222
71,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,45,0,1,111,11.4,222
72,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,44,0,1,111,11.5,222
73,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,44,0,1,112,11.6,222
74,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,44,1,2,112,12.1,222
75,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,47,1,2,116,12.2,222
76,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,46,1,2,116,12.3,222
77,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,47,1,2,118,12.4,222
78,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,47,1,2,119,12.4,222
79,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,50,1,2,123,12.5,222
80,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,51,1,2,124,12.6,222
81,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,52,1,2,125,13.1,222
82,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,52,1,2,125,13.2,222
83,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,52,1,2,126,13.3,222
84,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,52,1,2,127,13.4,222
85,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,51,1,2,128,13.5,222
86,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,52,1,2,130,13.6,222
87,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,55,1,2,134,14.1,222
88,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,55,1,2,135,14.2,222
89,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,61,1,2,141,14.3,222
90,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,59,1,2,145,14.4,222
91,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,60,1,2,147,14.4,222
92,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,60,1,2,148,14.5,222
93,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,62,1,2,154,14.6,222
94,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,62,1,2,154,15.1,222
95,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,57,1,2,155,15.2,222
96,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,59,1,2,157,15.3,222
97,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,55,1,2,157,15.4,222
98,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,56,1,2,158,15.5,222
99,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,50,1,2,158,15.6,222
100,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,49,1,2,159,16.1,222
101,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,50,1,2,161,16.2,222
102,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,51,1,2,162,16.3,222
103,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,56,1,2,168,16.4,222
104,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,58,0,2,170,16.5,222
105,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,56,0,2,172,16.6,222
106,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,56,1,3,172,17.1,222
107,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,55,1,3,173,17.2,222
108,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,54,1,3,173,17.3,222
109,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,51,1,3,174,17.4,222
110,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,54,1,3,178,17.5,222
111,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,54,1,3,179,17.6,222
112,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,60,1,3,185,18.1,222
113,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,59,1,3,185,18.2,222
114,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,64,1,3,191,18.3,222
115,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,67,1,3,195,18.4,222
116,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,66,1,3,196,18.5,222
117,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,66,1,3,200,18.6,222
118,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,71,1,3,206,19.1,222
119,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,71,1,3,212,19.2,222
120,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,69,1,3,214,19.3,222
121,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,67,1,3,214,19.4,222
122,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,68,1,3,216,19.5,222
123,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,68,1,3,222,19.6,222
15532,Maharashtra Cricket Association Stadium,Pune,MI,RPS,45,1,1,46,5.1,240
15533,Maharashtra Cricket Association Stadium,Pune,MI,RPS,51,1,1,52,5.2,240
15534,Maharashtra Cricket Association Stadium,Pune,MI,RPS,47,1,1,52,5.3,240
15535,Maharashtra Cricket Association Stadium,Pune,MI,RPS,48,1,1,53,5.4,240
15536,Maharashtra Cricket Association Stadium,Pune,MI,RPS,44,1,1,53,5.5,240
15537,Maharashtra Cricket Association Stadium,Pune,MI,RPS,40,1,1,53,5.6,240
15538,Maharashtra Cricket Association Stadium,Pune,MI,RPS,40,1,1,57,6.1,240
15539,Maharashtra Cricket Association Stadium,Pune,MI,RPS,38,2,2,57,6.2,240
15540,Maharashtra Cricket Association Stadium,Pune,MI,RPS,38,2,2,58,6.3,240
15541,Maharashtra Cricket Association Stadium,Pune,MI,RPS,40,2,2,60,6.4,240
15542,Maharashtra Cricket Association Stadium,Pune,MI,RPS,41,2,2,61,6.5,240
15543,Maharashtra Cricket Association Stadium,Pune,MI,RPS,42,2,2,62,6.6,240
15544,Maharashtra Cricket Association Stadium,Pune,MI,RPS,37,3,3,62,7.1,240
15545,Maharashtra Cricket Association Stadium,Pune,MI,RPS,38,3,3,63,7.2,240
15546,Maharashtra Cricket Association Stadium,Pune,MI,RPS,37,3,3,63,7.3,240
15547,Maharashtra Cricket Association Stadium,Pune,MI,RPS,38,2,3,64,7.4,240
15548,Maharashtra Cricket Association Stadium,Pune,MI,RPS,43,2,3,70,7.5,240
15549,Maharashtra Cricket Association Stadium,Pune,MI,RPS,43,2,3,70,7.6,240
15550,Maharashtra Cricket Association Stadium,Pune,MI,RPS,44,2,3,71,8.1,240
15551,Maharashtra Cricket Association Stadium,Pune,MI,RPS,48,2,3,75,8.2,240
15552,Maharashtra Cricket Association Stadium,Pune,MI,RPS,48,2,3,76,8.3,240
15553,Maharashtra Cricket Association Stadium,Pune,MI,RPS,47,2,3,76,8.4,240
15554,Maharashtra Cricket Association Stadium,Pune,MI,RPS,53,2,3,82,8.5,240
15555,Maharashtra Cricket Association Stadium,Pune,MI,RPS,50,2,3,83,8.6,240
15556,Maharashtra Cricket Association Stadium,Pune,MI,RPS,52,2,3,85,9.1,240
15557,Maharashtra Cricket Association Stadium,Pune,MI,RPS,52,2,3,86,9.2,240
15558,Maharashtra Cricket Association Stadium,Pune,MI,RPS,49,2,3,87,9.3,240
15559,Maharashtra Cricket Association Stadium,Pune,MI,RPS,45,2,3,87,9.4,240
15560,Maharashtra Cricket Association Stadium,Pune,MI,RPS,45,2,3,87,9.5,240
15561,Maharashtra Cricket Association Stadium,Pune,MI,RPS,46,2,3,88,9.6,240
15562,Maharashtra Cricket Association Stadium,Pune,MI,RPS,48,2,3,94,10.1,240
15563,Maharashtra Cricket Association Stadium,Pune,MI,RPS,43,2,3,95,10.2,240
15564,Maharashtra Cricket Association Stadium,Pune,MI,RPS,45,2,3,97,10.3,240
15565,Maharashtra Cricket Association Stadium,Pune,MI,RPS,44,2,3,97,10.4,240
15566,Maharashtra Cricket Association Stadium,Pune,MI,RPS,50,2,3,103,10.5,240
15567,Maharashtra Cricket Association Stadium,Pune,MI,RPS,54,2,3,107,10.6,240
15568,Maharashtra Cricket Association Stadium,Pune,MI,RPS,56,2,3,113,11.1,240
15569,Maharashtra Cricket Association Stadium,Pune,MI,RPS,60,1,3,117,11.2,240
15570,Maharashtra Cricket Association Stadium,Pune,MI,RPS,60,1,3,118,11.3,240
15571,Maharashtra Cricket Association Stadium,Pune,MI,RPS,64,1,3,124,11.4,240
15572,Maharashtra Cricket Association Stadium,Pune,MI,RPS,64,1,3,125,11.5,240
15573,Maharashtra Cricket Association Stadium,Pune,MI,RPS,65,1,3,127,11.6,240
15574,Maharashtra Cricket Association Stadium,Pune,MI,RPS,66,0,3,128,12.0,240
15575,Maharashtra Cricket Association Stadium,Pune,MI,RPS,65,1,4,128,12.1,240
15576,Maharashtra Cricket Association Stadium,Pune,MI,RPS,66,1,4,129,12.2,240
15577,Maharashtra Cricket Association Stadium,Pune,MI,RPS,66,1,4,130,12.2,240
15578,Maharashtra Cricket Association Stadium,Pune,MI,RPS,60,1,4,130,12.3,240
15579,Maharashtra Cricket Association Stadium,Pune,MI,RPS,61,1,4,131,12.4,240
15580,Maharashtra Cricket Association Stadium,Pune,MI,RPS,61,1,4,132,12.5,240
15581,Maharashtra Cricket Association Stadium,Pune,MI,RPS,58,1,4,133,12.6,240
15582,Maharashtra Cricket Association Stadium,Pune,MI,RPS,58,1,4,134,13.1,240
15583,Maharashtra Cricket Association Stadium,Pune,MI,RPS,58,1,4,134,13.2,240
15584,Maharashtra Cricket Association Stadium,Pune,MI,RPS,53,1,4,135,13.3,240
15585,Maharashtra Cricket Association Stadium,Pune,MI,RPS,53,1,4,136,13.4,240
15586,Maharashtra Cricket Association Stadium,Pune,MI,RPS,57,1,4,142,13.5,240
15587,Maharashtra Cricket Association Stadium,Pune,MI,RPS,57,1,4,143,13.6,240
15588,Maharashtra Cricket Association Stadium,Pune,MI,RPS,60,1,4,147,14.1,240
15589,Maharashtra Cricket Association Stadium,Pune,MI,RPS,61,1,4,148,14.2,240
15590,Maharashtra Cricket Association Stadium,Pune,MI,RPS,63,1,4,150,14.3,240
15591,Maharashtra Cricket Association Stadium,Pune,MI,RPS,63,1,4,151,14.4,240
15592,Maharashtra Cricket Association Stadium,Pune,MI,RPS,61,1,4,155,14.5,240
15593,Maharashtra Cricket Association Stadium,Pune,MI,RPS,66,1,4,161,14.6,240
15594,Maharashtra Cricket Association Stadium,Pune,MI,RPS,70,1,4,167,15.1,240
15595,Maharashtra Cricket Association Stadium,Pune,MI,RPS,70,1,4,167,15.2,240
15596,Maharashtra Cricket Association Stadium,Pune,MI,RPS,64,2,5,167,15.3,240
15597,Maharashtra Cricket Association Stadium,Pune,MI,RPS,60,2,5,167,15.4,240
15598,Maharashtra Cricket Association Stadium,Pune,MI,RPS,55,2,5,168,15.5,240
15599,Maharashtra Cricket Association Stadium,Pune,MI,RPS,52,2,5,169,15.6,240
15600,Maharashtra Cricket Association Stadium,Pune,MI,RPS,52,2,5,170,16.1,240
15601,Maharashtra Cricket Association Stadium,Pune,MI,RPS,47,2,5,171,16.2,240
15602,Maharashtra Cricket Association Stadium,Pune,MI,RPS,52,2,5,177,16.3,240
15603,Maharashtra Cricket Association Stadium,Pune,MI,RPS,54,2,5,181,16.4,240
15604,Maharashtra Cricket Association Stadium,Pune,MI,RPS,54,2,5,182,16.5,240
15605,Maharashtra Cricket Association Stadium,Pune,MI,RPS,55,1,5,183,16.6,240
15606,Maharashtra Cricket Association Stadium,Pune,MI,RPS,54,1,5,183,17.1,240
15607,Maharashtra Cricket Association Stadium,Pune,MI,RPS,57,1,5,187,17.2,240
15608,Maharashtra Cricket Association Stadium,Pune,MI,RPS,58,1,5,188,17.3,240
15609,Maharashtra Cricket Association Stadium,Pune,MI,RPS,59,1,5,190,17.4,240
15610,Maharashtra Cricket Association Stadium,Pune,MI,RPS,64,1,5,196,17.5,240
15611,Maharashtra Cricket Association Stadium,Pune,MI,RPS,67,1,5,200,17.6,240
15612,Maharashtra Cricket Association Stadium,Pune,MI,RPS,70,1,5,204,18.1,240
15613,Maharashtra Cricket Association Stadium,Pune,MI,RPS,71,1,5,205,18.2,240
15614,Maharashtra Cricket Association Stadium,Pune,MI,RPS,71,1,5,206,18.3,240
15615,Maharashtra Cricket Association Stadium,Pune,MI,RPS,71,1,5,207,18.4,240
15616,Maharashtra Cricket Association Stadium,Pune,MI,RPS,71,1,5,213,18.5,240
15617,Maharashtra Cricket Association Stadium,Pune,MI,RPS,72,1,5,215,18.6,240
15618,Maharashtra Cricket Association Stadium,Pune,MI,RPS,74,1,5,221,19.1,240
15619,Maharashtra Cricket Association Stadium,Pune,MI,RPS,79,1,5,227,19.2,240
15620,Maharashtra Cricket Association Stadium,Pune,MI,RPS,81,1,5,231,19.3,240
15621,Maharashtra Cricket Association Stadium,Pune,MI,RPS,81,1,5,232,19.4,240
15622,Maharashtra Cricket Association Stadium,Pune,MI,RPS,83,1,5,238,19.5,240
15623,Maharashtra Cricket Association Stadium,Pune,MI,RPS,79,1,5,240,19.6,240
31031,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,37,2,2,37,5.1,129
31032,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,38,2,2,38,5.2,129
31033,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,37,2,2,38,5.3,129
31034,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,38,2,2,39,5.4,129
31035,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,39,2,2,40,5.5,129
31036,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,33,2,2,40,5.6,129
31037,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,32,2,2,40,6.1,129
31038,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,33,3,3,41,6.2,129
31039,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,35,3,3,43,6.3,129
31040,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,34,3,3,43,6.4,129
31041,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,30,3,3,43,6.5,129
31042,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,27,3,3,44,6.6,129
31043,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,28,3,3,45,7.1,129
31044,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,29,3,3,46,7.2,129
31045,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,30,2,3,47,7.3,129
31046,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,30,3,4,47,7.4,129
31047,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,30,3,4,47,7.5,129
31048,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,31,3,4,48,7.6,129
31049,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,30,3,4,48,8.1,129
31050,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,26,3,4,48,8.2,129
31051,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,23,3,4,49,8.3,129
31052,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,23,3,4,50,8.4,129
31053,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,23,2,4,50,8.5,129
31054,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,20,2,4,51,8.6,129
31055,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,21,2,4,52,9.1,129
31056,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,22,2,4,53,9.2,129
31057,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,22,2,4,54,9.3,129
31058,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,19,2,4,55,9.4,129
31059,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,20,2,4,56,9.5,129
31060,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,20,2,4,57,9.6,129
31061,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,20,2,4,57,10.1,129
31062,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,19,2,4,57,10.2,129
31063,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,19,3,5,57,10.3,129
31064,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,19,3,5,58,10.4,129
31065,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,18,3,5,58,10.5,129
31066,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,19,3,5,59,10.6,129
31067,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,25,3,5,65,11.1,129
31068,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,28,2,5,69,11.2,129
31069,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,27,2,5,70,11.3,129
31070,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,27,2,5,70,11.4,129
31071,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,28,2,5,71,11.5,129
31072,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,27,2,5,71,11.6,129
31073,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,26,3,6,71,12.1,129
31074,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,29,3,6,75,12.2,129
31075,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,29,3,6,76,12.3,129
31076,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,31,2,6,78,12.3,129
31077,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,31,2,6,78,12.4,129
31078,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,31,2,6,79,12.5,129
31079,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,32,2,6,80,12.6,129
31080,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,36,2,6,84,13.1,129
31081,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,36,2,6,85,13.2,129
31082,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,36,2,6,86,13.3,129
31083,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,36,2,6,86,13.4,129
31084,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,36,2,6,87,13.5,129
31085,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,35,2,6,87,13.6,129
31086,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,40,2,6,93,14.1,129
31087,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,39,3,7,93,14.2,129
31088,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,38,3,7,93,14.3,129
31089,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,38,3,7,94,14.4,129
31090,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,38,3,7,95,14.5,129
31091,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,39,3,7,96,14.6,129
31092,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,39,3,7,96,15.1,129
31093,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,39,2,7,96,15.2,129
31094,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,42,2,7,100,15.3,129
31095,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,42,2,7,100,15.4,129
31096,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,45,2,7,104,15.5,129
31097,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,41,2,7,106,15.6,129
31098,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,38,2,7,107,16.1,129
31099,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,37,2,7,107,16.2,129
31100,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,38,2,7,108,16.3,129
31101,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,37,2,7,108,16.4,129
31102,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,38,2,7,109,16.5,129
31103,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,39,1,7,110,16.6,129
31104,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,35,2,8,110,17.1,129
31105,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,34,2,8,110,17.2,129
31106,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,32,2,8,110,17.3,129
31107,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,32,2,8,110,17.4,129
31108,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,32,2,8,111,17.5,129
31109,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,31,2,8,111,17.6,129
31110,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,27,2,8,111,18.1,129
31111,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,27,2,8,112,18.2,129
31112,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,30,2,8,116,18.3,129
31113,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,34,2,8,120,18.4,129
31114,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,33,2,8,120,18.5,129
31115,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,34,2,8,121,18.6,129
31116,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,32,2,8,125,19.1,129
31117,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,32,1,8,125,19.2,129
31118,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,33,1,8,126,19.3,129
31119,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,33,1,8,127,19.4,129
31120,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,34,1,8,129,19.5,129
31121,Saurashtra Cricket Association Stadium,Rajkot,GL,KKR,33,1,8,129,19.6,129
45916,Holkar Cricket Stadium,Indore,RPS,KXIP,38,2,2,42,5.1,165
45917,Holkar Cricket Stadium,Indore,RPS,KXIP,42,2,2,46,5.2,165
45918,Holkar Cricket Stadium,Indore,RPS,KXIP,38,2,2,46,5.3,165
45919,Holkar Cricket Stadium,Indore,RPS,KXIP,38,3,3,46,5.4,165
45920,Holkar Cricket Stadium,Indore,RPS,KXIP,38,3,3,47,5.5,165
45921,Holkar Cricket Stadium,Indore,RPS,KXIP,38,3,3,47,5.6,165
45922,Holkar Cricket Stadium,Indore,RPS,KXIP,39,3,3,48,6.1,165
45923,Holkar Cricket Stadium,Indore,RPS,KXIP,39,3,3,48,6.2,165
45924,Holkar Cricket Stadium,Indore,RPS,KXIP,40,2,3,49,6.3,165
45925,Holkar Cricket Stadium,Indore,RPS,KXIP,40,2,3,53,6.4,165
45926,Holkar Cricket Stadium,Indore,RPS,KXIP,41,2,3,54,6.5,165
45927,Holkar Cricket Stadium,Indore,RPS,KXIP,37,2,3,54,6.6,165
45928,Holkar Cricket Stadium,Indore,RPS,KXIP,37,2,3,54,7.1,165
45929,Holkar Cricket Stadium,Indore,RPS,KXIP,37,2,3,55,7.2,165
45930,Holkar Cricket Stadium,Indore,RPS,KXIP,38,2,3,56,7.3,165
